drug,exposure_window,model,converged,irr_10pct,ci_low,ci_high,p,n_obs,q_fdr
statins,lead (falsification): t+1..t+3,FE + time-varying,True,1.0393121867695676,0.989013779572143,1.0921686268466682,0.1276289444252064,2627,
metformin,lead (falsification): t+1..t+3,FE only,True,0.9751639269401372,0.9319109756273449,1.02042438524254,0.2772506104771538,2627,
metformin,lead (falsification): t+1..t+3,FE + time-varying,True,1.0206861442971424,0.9776461276967089,1.0656209600242599,0.35159811776653327,2627,
insulins,lead (falsification): t+1..t+3,FE only,True,0.9422488514883643,0.8897158200472274,0.9978836816501861,0.04211496515134007,2627,
insulins,lead (falsification): t+1..t+3,FE + time-varying,True,0.9572747053230405,0.907372267562588,1.0099216101379305,0.10991795311244543,2627,
fluoroquinolones,lead (falsification): t+1..t+3,FE only,True,1.0034320750367478,0.9843451300350635,1.02288912546018,0.72658745207616,2627,
fluoroquinolones,lead (falsification): t+1..t+3,FE + time-varying,True,0.9995106834101799,0.981906431420593,1.0174305557870014,0.9569475021648961,2627,
all_antibacterials,lead (falsification): t+1..t+3,FE only,True,1.0065816864550394,0.9646940312978094,1.050288131402241,0.7622663993259102,2627,
all_antibacterials,lead (falsification): t+1..t+3,FE + time-varying,True,1.0109967501634516,0.9771913621904088,1.0459716166032775,0.5285023356632865,2627,
vitamin_d,lead (falsification): t+1..t+3,FE only,True,1.0262608469330798,0.999206783801249,1.0540474134303868,0.057199654282744504,2627,
