drug,exposure_window,model,converged,irr_10pct,ci_low,ci_high,p,n_obs,q_fdr
proton_pump_inhibitors,concurrent: t,FE + time-varying,True,0.9923023941649354,0.9494891445192244,1.03704612859376,0.7312901988997667,1638,
statins,concurrent: t,FE only,True,0.97360531434264,0.929738475826689,1.0195418741527145,0.25544889374832036,1638,
statins,concurrent: t,FE + time-varying,True,0.9955707820630014,0.9536539335433598,1.0393300412601623,0.8397087276769525,1638,
metformin,concurrent: t,FE only,True,0.9483130299524141,0.9164902485420949,0.9812407761109124,0.002308109785549208,1638,
metformin,concurrent: t,FE + time-varying,True,0.9682670264763743,0.938589274455742,0.9988831750768192,0.04232029077704488,1638,
insulins,concurrent: t,FE only,True,0.9608015244821274,0.9186546521225654,1.0048820493253392,0.08060202962222032,1638,
insulins,concurrent: t,FE + time-varying,True,0.9668859058080852,0.9271817301005466,1.0082903108422352,0.11546921201826243,1638,
fluoroquinolones,concurrent: t,FE only,True,1.0062139062542563,0.9897336720890858,1.022968555775596,0.4622019217951071,1638,
fluoroquinolones,concurrent: t,FE + time-varying,True,1.0019602649967414,0.9874032736935623,1.0167318656712343,0.7931124952624142,1638,
all_antibacterials,concurrent: t,FE only,True,0.9950983092573976,0.9530935651780709,1.0389542866150017,0.8232956637494051,1638,
all_antibacterials,concurrent: t,FE + time-varying,True,0.9963401661327936,0.9630002532189418,1.0308343360568464,0.8327718129298177,1638,
vitamin_d,concurrent: t,FE only,True,1.0126873425558027,0.9888305299864796,1.0371197315143132,0.2999540787445232,1638,
vitamin_d,concurrent: t,FE + time-varying,True,1.008508334268676,0.9869734234768541,1.0305131182827962,0.4416924583494487,1638,
levothyroxine,concurrent: t,FE only,True,0.9482932060394134,0.9189763097654015,0.9785453608157479,0.0009209158606231403,1638,
levothyroxine,concurrent: t,FE + time-varying,True,0.962676748122406,0.9324623229706845,0.9938702063833051,0.019391557440934133,1638,
antituberculosis,lead (falsification): t+1..t+3,FE only,True,1.0059480625578716,0.9997534741351485,1.012181033368573,0.059867770552861285,1340,
antituberculosis,lead (falsification): t+1..t+3,FE + time-varying,True,1.001275219379758,0.9958919516666098,1.0066875862047358,0.6431192938957642,1340,
oral_corticosteroids,lead (falsification): t+1..t+3,FE only,True,0.9736776837293519,0.9147009112115342,1.0364570759384648,0.40273226640249216,1340,
oral_corticosteroids,lead (falsification): t+1..t+3,FE + time-varying,True,1.0025373235662114,0.9542064726034027,1.0533161469771803,0.9199277862669573,1340,
inhaled_corticosteroids,lead (falsification): t+1..t+3,FE only,True,0.9326057229176531,0.8776701459267103,0.9909798555360535,0.024289098314435365,1340,
inhaled_corticosteroids,lead (falsification): t+1..t+3,FE + time-varying,True,0.9667579494131937,0.9140307526752217,1.022526791377771,0.23741267788106546,1340,
immunosuppressants,lead (falsification): t+1..t+3,FE only,True,1.00730022547065,0.9784822001737334,1.0369669924021778,0.6233165751533887,1340,
immunosuppressants,lead (falsification): t+1..t+3,FE + time-varying,True,1.0050490196796744,0.9763329360318397,1.0346097060543422,0.7334596404758125,1340,
proton_pump_inhibitors,lead (falsification): t+1..t+3,FE only,True,0.9880975087316648,0.929637670098929,1.050233567512194,0.7003706098410329,1340,
proton_pump_inhibitors,lead (falsification): t+1..t+3,FE + time-varying,True,1.0440478468210217,0.9907294728358311,1.1002356711277894,0.1070164979271396,1340,
statins,lead (falsification): t+1..t+3,FE only,True,0.983525326758969,0.9257834172798025,1.044868648888296,0.5904783382140413,1340,
statins,lead (falsification): t+1..t+3,FE + time-varying,True,1.0340548539970669,0.984025712626796,1.086627541693546,0.18565342735763468,1340,
metformin,lead (falsification): t+1..t+3,FE only,True,0.9619499943142206,0.9151794817303279,1.011110727495306,0.1271367843173987,1340,
metformin,lead (falsification): t+1..t+3,FE + time-varying,True,1.0146947860699838,0.9722891382091129,1.0589499238611981,0.5030075774738658,1340,
insulins,lead (falsification): t+1..t+3,FE only,True,0.9307548138254841,0.8732026782620653,0.9921001676077273,0.02755622935473595,1340,
insulins,lead (falsification): t+1..t+3,FE + time-varying,True,0.9487192113755031,0.8985933330300794,1.0016412418706735,0.057329867739079186,1340,
fluoroquinolones,lead (falsification): t+1..t+3,FE only,True,1.00363303238583,0.9824356535605582,1.0252877733471701,0.7391580059716678,1340,
fluoroquinolones,lead (falsification): t+1..t+3,FE + time-varying,True,0.9960870177640501,0.9764185755566177,1.0161516503231935,0.7000020757174048,1340,
all_antibacterials,lead (falsification): t+1..t+3,FE only,True,1.0098644613966088,0.9606957599837398,1.0615496319137745,0.6998981692495352,1340,
all_antibacterials,lead (falsification): t+1..t+3,FE + time-varying,True,1.0093583687857097,0.9722916868480865,1.0478381440660507,0.6255699452974814,1340,
vitamin_d,lead (falsification): t+1..t+3,FE only,True,1.0304668329652653,0.9993678339884416,1.0625335914641265,0.05491425001145758,1340,
vitamin_d,lead (falsification): t+1..t+3,FE + time-varying,True,1.0247075258919722,0.999377239706949,1.0506798353017823,0.055976406871463075,1340,
levothyroxine,lead (falsification): t+1..t+3,FE only,True,0.9379402601998601,0.8953324341534652,0.982575742981506,0.00691196338298177,1340,
levothyroxine,lead (falsification): t+1..t+3,FE + time-varying,True,0.9729214966974299,0.9292190131180215,1.0186793698502818,0.24170570747011688,1340,
