level,design,drug,model,term,n,spearman_rho_log,estimate,ci_low,ci_high,p,se_log_irr_10pct,elasticity,years
ltla,within-area FE,il6_abatacept,"concurrent (t), elective catchments",t,1764,,1.0012797604307573,0.9914548814569077,1.0112019996059192,0.7993319159655575,0.0050310100160818405,0.013418736991066549,2019-2024
ltla,within-area FE,jak_inhibitor_rheum,concurrent (t),t,1764,,0.9939139365905756,0.9884279035639457,0.9994304185333689,0.030637053141815362,0.0028239363475351,-0.06405044029376457,2019-2024
ltla,within-area FE,jak_inhibitor_rheum,lag (t-1),t-1,1470,,0.9954185110054149,0.9886951278779359,1.0021876148807811,0.18416959056256166,0.003457776385924708,-0.04817970326445355,2020-2024
ltla,within-area FE,jak_inhibitor_rheum,lead (t+1),t+1,1470,,1.0003830251260766,0.9903651217537721,1.0105022632341998,0.9405511259700808,0.005134972339551716,0.004017952662190689,2019-2023
ltla,within-area FE,jak_inhibitor_rheum,lag and lead jointly,t-1,1176,,1.0036735386116178,0.995895308401394,1.011512519047988,0.35560194758401564,0.003969360518831424,0.038472361036851976,2020-2023
ltla,within-area FE,jak_inhibitor_rheum,lag and lead jointly,t+1,1176,,0.9977658498657581,0.9840941963476197,1.0116274385655222,0.7506837317058999,0.007039290277997727,-0.023467058562722548,2020-2023
ltla,within-area FE,jak_inhibitor_rheum,"lag (t-1), clustered by principal trust",t-1,1470,,0.9954185110054149,0.9882868780174608,1.0026016069746209,0.21066286322889105,0.003668492262427252,-0.04817970326445355,2020-2024
ltla,within-area FE,jak_inhibitor_rheum,"concurrent (t), clustered by principal trust",t,1764,,0.9939139365905756,0.9877402541986204,1.0001262064088452,0.05481969045920359,0.003179008891036366,-0.06405044029376457,2019-2024
ltla,within-area FE,jak_inhibitor_rheum,"lag (t-1), excluding outcome years 2020-21",t-1,882,,0.9801580452601674,0.9627060494980343,0.9979264118981667,0.02878222071429032,0.009166177900175047,-0.21027606586979714,2022-2024
ltla,within-area FE,jak_inhibitor_rheum,"lag (t-1), elective catchments",t-1,1470,,0.9958227529793212,0.9890705683661078,1.0026210333904575,0.2278509258312431,0.003471224776974731,-0.04391971664298766,2020-2024
ltla,within-area FE,jak_inhibitor_rheum,"concurrent (t), elective catchments",t,1764,,0.9941465919207372,0.9887022059054457,0.9996209579835157,0.03614329315485946,0.0028017819115823857,-0.06159474706501761,2019-2024
ltla,within-area FE,rituximab,concurrent (t),t,1764,,0.9901363869557528,0.9763464174843093,1.0041211266999375,0.1659717623403233,0.007155734110442053,-0.1040033788704745,2019-2024
ltla,within-area FE,rituximab,lag (t-1),t-1,1470,,1.0007058286085981,0.9856500346551943,1.0159915996569113,0.9273132574915822,0.007734439509771194,0.007402982873241273,2020-2024
ltla,within-area FE,rituximab,lead (t+1),t+1,1470,,1.0020197832105917,0.9881285258455025,1.0161063259319234,0.7769554429908359,0.007122576019177563,0.02117031145105522,2019-2023
ltla,within-area FE,rituximab,lag and lead jointly,t-1,1176,,1.00831660885979,0.990966734093762,1.0259702457442024,0.34964612328250133,0.008855372273652606,0.08689750076425762,2020-2023
ltla,within-area FE,rituximab,lag and lead jointly,t+1,1176,,1.0051508954773374,0.9879706622232328,1.0226298829616547,0.5591535132251548,0.008795893252653448,0.05390478755323974,2020-2023
ltla,within-area FE,rituximab,"lag (t-1), clustered by principal trust",t-1,1470,,1.0007058286085981,0.9877969170258966,1.0137834388330729,0.9151753493559911,0.006624352836808538,0.007402982873241273,2020-2024
ltla,within-area FE,rituximab,"concurrent (t), clustered by principal trust",t,1764,,0.9901363869557528,0.9771524413389988,1.0032928571824313,0.14105736658964704,0.006734708337086512,-0.1040033788704745,2019-2024
ltla,within-area FE,rituximab,"lag (t-1), excluding outcome years 2020-21",t-1,882,,0.989290245853662,0.9633229820744952,1.0159574812941763,0.4275300712836786,0.013570926278973114,-0.11297341341929462,2022-2024
ltla,within-area FE,rituximab,"lag (t-1), elective catchments",t-1,1470,,1.0016081363746174,0.9861035887335603,1.0173564626615497,0.8400133804440434,0.007959548488919747,0.01685910897676899,2020-2024
ltla,within-area FE,rituximab,"concurrent (t), elective catchments",t,1764,,0.9909450618978761,0.976935475373431,1.0051555506513155,0.2105204704598851,0.007264535472505214,-0.09543768821920062,2019-2024
ltla,within-area FE,transplant_cni_mtor,concurrent (t),t,1764,,0.9937778640619519,0.9847160217701676,1.0029230978939423,0.1817213145097082,0.004673677576336815,-0.06548696174825261,2019-2024
ltla,within-area FE,transplant_cni_mtor,lag (t-1),t-1,1470,,1.0084618737964768,0.9970799740912728,1.0199737005328777,0.14565914184714943,0.0057911073148788385,0.0884089491029453,2020-2024
ltla,within-area FE,transplant_cni_mtor,lead (t+1),t+1,1470,,0.9891256006707743,0.9761382821767868,1.002285712758399,0.10492519220998944,0.006743399116740679,-0.1147197266915578,2019-2023
