SICBL26CD,SICBL26CDH,SICBL26NM,ICB26NM,region,tb_count,tb_denominator,boundary_changed,tb_rate_per_100k,diabetes_prev,pct_non_uk_born,imd_score,resident_pop_mid2022,registered_patients,pct_age_65plus,pct_age_15_44,total_items,items_antituberculosis,items_oral_corticosteroids,items_inhaled_corticosteroids,items_immunosuppressants,items_proton_pump_inhibitors,items_statins,items_metformin,items_insulins,items_fluoroquinolones,items_all_antibacterials,items_vitamin_d,items_levothyroxine,rate_antituberculosis,rate_oral_corticosteroids,rate_inhaled_corticosteroids,rate_immunosuppressants,rate_proton_pump_inhibitors,rate_statins,rate_metformin,rate_insulins,rate_fluoroquinolones,rate_all_antibacterials,rate_vitamin_d,rate_levothyroxine,rate_total_items
E38000231,92G,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",South West,123.0,2863347.0,False,4.295672162682344,7.5889,12.9531031544046,14.280570997507462,954449,1010651.0,21.437172673850814,37.04483545754172,1763040,11.0,8808,35305,6053,109833,137976,32787,11130,492,37200,43208,47995,0.010884073730694374,8.715174674541458,34.93292936928772,5.989208935626641,108.67549727848684,136.52190518784425,32.44146594620695,11.012703692966216,0.48681493413651206,36.807958434711885,42.7526416141675,47.48919260951604,1744.4597591057645
E38000045,11J,NHS Dorset ICB - 11J,NHS Dorset Integrated Care Board,South West,61.0,2357796.0,False,2.5871619088335036,7.54948,11.114146186321127,16.905310830962474,785932,826660.0,25.92129775240123,34.59378704666973,1475656,2.0,8291,32807,5383,92498,115127,24415,10705,407,31844,37770,38390,0.0024193743497931434,10.029516367067476,39.68620714683183,6.511746062468245,111.89364430358309,139.26765538431764,29.5345123750998,12.9497012072678,0.49234268018290467,38.521278397406434,45.689884595843516,46.439890644279394,1785.0821377591756
E38000062,11M,NHS Gloucestershire ICB - 11M,NHS Gloucestershire Integrated Care Board,South West,68.0,1957998.0,False,3.4729351102503676,8.14363,10.002449263050849,15.146137272356764,652666,698323.0,22.404675200444494,36.192420985704324,1274494,14.0,7419,25563,4464,77191,103175,24245,8324,475,25312,25456,40224,0.02004802935031497,10.624023553570483,36.60626959157868,6.392457358557573,110.53767382715449,147.74681630133907,34.718890828456175,11.9199854508587,0.6802009958142579,36.24683706536946,36.45304536725841,57.60085232764781,1825.078079914309
E38000014,00Q,NHS Lancashire and South Cumbria ICB - 00Q,NHS Lancashire and South Cumbria Integrated Care Board,North West,81.0,467469.0,False,17.32735218805953,9.77899,18.091754502743328,36.898780584380994,155823,188262.0,14.809680126632035,41.95695360720698,336672,7.0,1723,8587,557,22314,25670,9310,2388,42,7370,5376,7953,0.03718222477186049,9.152139040273662,45.61196630228086,2.958642742560899,118.52630907989929,136.3525299848084,49.45235894657445,12.684450393600407,0.22309334863116295,39.147570938373114,28.555948624788858,42.2443190872295,1788.3162826274022
E38000015,00R,NHS Lancashire and South Cumbria ICB - 00R,NHS Lancashire and South Cumbria Integrated Care Board,North West,35.0,424944.0,False,8.236379381753832,9.5506,7.898636528003289,43.466861762961706,141648,177325.0,21.24460735936839,36.89891442267024,452797,3.0,1679,10619,1078,28510,33761,9578,3148,57,8231,8211,10769,0.01691808825602707,9.46849006062315,59.884393063583815,6.079233046665727,160.77823205977722,190.39052587057662,54.013816438742424,17.752713943324405,0.3214436768645143,46.41759481178627,46.30480755674609,60.73029747638517,2553.4865360214294
E38000050,01A,NHS Lancashire and South Cumbria ICB - 01A,NHS Lancashire and South Cumbria Integrated Care Board,North West,105.0,1191912.0,False,8.809375188772325,8.64257,10.697962898002555,31.181666517326786,397304,409892.0,19.070389273271985,38.471353429683916,772983,2.0,4177,20400,1316,51940,62154,17408,5953,124,15341,14017,17942,0.004879334068486333,10.190489202033707,49.7692074985606,3.210601817064007,126.71630575859008,151.6350648463498,42.469723732105045,14.52333785484957,0.3025187122461526,37.42693197232442,34.19681281898646,43.77250592839089,1885.8211431303855
E38000034,00X,NHS Lancashire and South Cumbria ICB - 00X,NHS Lancashire and South Cumbria Integrated Care Board,North West,10.0,541458.0,False,1.8468653155000019,7.5389,5.003525974680145,16.78731554247975,180486,195431.0,21.423417983840846,36.21124591287974,341778,1.0,1600,8218,716,21790,25270,6123,2306,73,7321,5167,9892,0.0051168954771760875,8.18703276348174,42.05064703143309,3.663697161658079,111.49715244766695,129.30394870823974,31.33075100674919,11.79956097036806,0.37353336983385443,37.46079178840614,26.438998930568847,50.61633006022586,1748.842302398289
E38000200,02G,NHS Lancashire and South Cumbria ICB - 02G,NHS Lancashire and South Cumbria Integrated Care Board,North West,,,False,,7.56006,5.9388147921031536,18.264645174262736,119360,118386.0,23.02214788910851,35.75000422347237,227296,2.0,1117,5535,513,13888,16616,4103,1488,49,4464,5575,6260,0.01689388948017502,9.435237274677748,46.753839136384364,4.333282651664893,117.31116855033534,140.35443380129405,34.65781426857906,12.569053773250216,0.413900292264288,37.70716131975065,47.09171692598787,52.87787407294781,1919.9567516429308
E38000227,01E,NHS Lancashire and South Cumbria ICB - 01E,NHS Lancashire and South Cumbria Integrated Care Board,North West,73.0,635700.0,False,11.483404121440932,7.324540000000001,14.99320265723073,23.53828475696083,211900,239132.0,16.303129652242276,43.260625930448455,407590,4.0,1709,9112,706,25749,31772,9307,2223,95,9296,6761,11122,0.016727163240386065,7.146680494454945,38.10447786159945,2.95234431192814,107.67693156917518,132.8638576183865,38.919927069568274,9.296120970844553,0.397270126959169,38.873927370657206,28.273087667062544,46.50987738989345,1704.456116287239
E38000226,02M,NHS Lancashire and South Cumbria ICB - 02M,NHS Lancashire and South Cumbria Integrated Care Board,North West,7.0,600933.0,False,1.164855316649277,8.62114,4.698821073314507,18.553877086131067,200311,188135.0,29.558561671140403,30.480771786217343,467617,1.0,2110,9498,1316,30234,36649,8513,2778,107,9108,8722,13169,0.005315332075371409,11.215350679033673,50.485024051877645,6.994977011188774,160.70374996677916,194.80160523028675,45.2494219576368,14.765992505381773,0.5687405320647407,48.41204454248279,46.360326361389426,69.99760810056608,2485.5396390889523
