utla,year,tb_count
E06000038,2010,59
E06000038,2011,52
E06000038,2012,43
E06000038,2013,66
E06000038,2014,64
E06000038,2015,37
E06000038,2016,27
E06000038,2017,38
E06000038,2018,22
E06000038,2019,25
E06000038,2020,29
E06000038,2021,35
E06000038,2022,30
E06000038,2023,39
E06000038,2024,37
E06000039,2001,64
E06000039,2002,68
E06000039,2003,73
E06000039,2004,70
E06000039,2005,76
E06000039,2006,61
E06000039,2007,54
E06000039,2008,59
E06000039,2009,61
E06000039,2010,72
E06000039,2011,85
E06000039,2012,84
E06000039,2013,78
E06000039,2014,58
E06000039,2015,71
E06000039,2016,53
E06000039,2017,43
E06000039,2018,36
E06000039,2019,51
E06000039,2020,46
E06000039,2021,44
E06000039,2022,50
E06000039,2023,55
E06000039,2024,56
E06000040,2001,12
E06000040,2002,11
E06000040,2003,15
E06000040,2004,8
E06000040,2005,17
E06000040,2006,8
E06000040,2007,9
E06000040,2008,11
E06000040,2009,13
E06000040,2010,9
E06000040,2011,10
E06000040,2012,12
E06000040,2013,9
E06000040,2014,21
E06000040,2015,7
E06000040,2016,10
E06000040,2017,14
E06000040,2018,12
E06000040,2019,10
E06000040,2020,7
E06000040,2021,11
E06000040,2022,6
E06000040,2023,9
E06000040,2024,13
E06000041,2001,4
E06000041,2002,9
E06000041,2003,13
E06000041,2004,11
E06000041,2005,9
E06000041,2006,15
E06000041,2007,12
E06000041,2008,9
E06000041,2009,10
E06000041,2010,16
E06000041,2011,10
E06000041,2012,14
E06000041,2013,12
E06000041,2014,19
E06000041,2015,17
E06000041,2016,16
E06000041,2017,7
E06000041,2018,7
E06000041,2019,3
E06000041,2020,2
E06000041,2021,14
E06000041,2022,11
E06000041,2023,12
E06000041,2024,10
E06000042,2001,23
E06000042,2002,9
E06000042,2003,13
E06000042,2004,18
E06000042,2005,24
E06000042,2006,43
E06000042,2007,44
E06000042,2008,38
E06000042,2009,33
E06000042,2010,26
E06000042,2011,36
E06000042,2012,44
E06000042,2013,32
E06000042,2014,23
E06000042,2015,23
E06000042,2016,25
E06000042,2017,24
E06000042,2018,33
E06000042,2019,26
E06000042,2020,18
E06000042,2021,29
E06000042,2022,22
E06000042,2023,24
E06000042,2024,29
E06000043,2001,24
E06000043,2002,6
E06000043,2003,3
E06000043,2004,14
E06000043,2005,15
E06000043,2006,15
E06000043,2007,30
E06000043,2008,28
E06000043,2009,35
E06000043,2010,22
E06000043,2011,23
E06000043,2012,31
E06000043,2013,15
E06000043,2014,22
E06000043,2015,24
E06000043,2016,19
E06000043,2017,15
E06000043,2018,19
E06000043,2019,10
E06000043,2020,12
E06000043,2021,15
E06000043,2022,10
E06000043,2023,13
E06000043,2024,13
E06000044,2001,11
E06000044,2002,15
E06000044,2003,16
E06000044,2004,23
E06000044,2005,20
E06000044,2006,22
E06000044,2007,23
E06000044,2008,23
E06000044,2009,30
E06000044,2010,24
E06000044,2011,16
E06000044,2012,23
E06000044,2013,19
E06000044,2014,10
E06000044,2015,17
E06000044,2016,11
E06000044,2017,12
E06000044,2018,12
E06000044,2019,13
E06000044,2020,12
E06000044,2021,10
E06000044,2022,18
E06000044,2023,18
E06000044,2024,16
E06000045,2001,14
E06000045,2002,26
E06000045,2003,34
E06000045,2004,33
E06000045,2005,30
E06000045,2006,33
E06000045,2007,24
E06000045,2008,24
E06000045,2009,36
E06000045,2010,27
E06000045,2011,51
E06000045,2012,41
E06000045,2013,39
E06000045,2014,29
E06000045,2015,23
E06000045,2016,34
E06000045,2017,34
E06000045,2018,29
E06000045,2019,23
E06000045,2020,21
E06000045,2021,18
E06000045,2022,27
E06000045,2023,21
E06000045,2024,32
E06000046,2001,7
E06000046,2002,3
E06000046,2003,1
E06000046,2004,1
E06000046,2005,3
E06000046,2006,0
E06000046,2007,7
E06000046,2008,1
E06000046,2009,3
E06000046,2010,3
E06000046,2011,6
E06000046,2012,7
E06000046,2013,2
E06000046,2014,3
E06000046,2015,1
E06000046,2016,3
E06000046,2017,1
E06000046,2018,2
E06000046,2019,2
E06000046,2020,1
E06000046,2021,1
E06000046,2022,0
E06000046,2023,0
E06000046,2024,1
E06000047,2001,17
E06000047,2002,10
E06000047,2003,18
E06000047,2004,19
E06000047,2005,14
E06000047,2006,19
E06000047,2007,23
E06000047,2008,17
E06000047,2009,23
E06000047,2010,13
E06000047,2011,5
E06000047,2012,16
E06000047,2013,9
E06000047,2014,10
E06000047,2015,10
E06000047,2016,7
E06000047,2017,9
E06000047,2018,15
E06000047,2019,8
E06000047,2020,7
E06000047,2021,14
E06000047,2022,2
E06000047,2023,1
E06000047,2024,8
E06000049,2001,11
E06000049,2002,7
E06000049,2003,11
E06000049,2004,4
E06000049,2005,1
E06000049,2006,11
E06000049,2007,4
E06000049,2008,9
E06000049,2009,6
E06000049,2010,8
E06000049,2011,12
E06000049,2012,9
E06000049,2013,21
E06000049,2014,12
E06000049,2015,18
E06000049,2016,17
E06000049,2017,7
E06000049,2018,6
E06000049,2019,8
E06000049,2020,8
E06000049,2021,16
E06000049,2022,12
E06000049,2023,12
E06000049,2024,14
E06000050,2001,3
E06000050,2002,6
E06000050,2003,5
E06000050,2004,7
E06000050,2005,14
E06000050,2006,16
E06000050,2007,10
E06000050,2008,5
E06000050,2009,8
E06000050,2010,10
E06000050,2011,8
E06000050,2012,8
E06000050,2013,11
E06000050,2014,12
E06000050,2015,11
E06000050,2016,7
E06000050,2017,8
E06000050,2018,6
E06000050,2019,12
E06000050,2020,8
E06000050,2021,4
E06000050,2022,11
E06000050,2023,8
E06000050,2024,15
E06000051,2001,10
E06000051,2002,4
E06000051,2003,11
E06000051,2004,18
E06000051,2005,13
E06000051,2006,14
E06000051,2007,7
E06000051,2008,13
E06000051,2009,8
E06000051,2010,8
E06000051,2011,10
E06000051,2012,14
E06000051,2013,11
E06000051,2014,10
E06000051,2015,7
E06000051,2016,8
E06000051,2017,0
E06000051,2018,8
E06000051,2019,6
E06000051,2020,5
E06000051,2021,8
E06000051,2022,8
E06000051,2023,1
E06000051,2024,9
E06000052,2001,10
E06000052,2002,13
E06000052,2003,12
E06000052,2004,20
E06000052,2005,13
E06000052,2006,10
E06000052,2007,21
E06000052,2008,11
E06000052,2009,13
E06000052,2010,7
E06000052,2011,23
E06000052,2012,18
E06000052,2013,14
E06000052,2014,17
E06000052,2015,9
E06000052,2016,12
