year,age_group,birthplace,tb_count,region_name
2003,45 to 64,Non-UK born,21.0,East of England
2003,45 to 64,UK born,29.0,East of England
2003,45 to 64,All places of birth,50.0,East of England
2003,65 and older,Non-UK born,11.0,East of England
2003,65 and older,UK born,30.0,East of England
2003,65 and older,All places of birth,41.0,East of England
2004,0 to 14,Non-UK born,7.0,East of England
2004,0 to 14,UK born,11.0,East of England
2004,0 to 14,All places of birth,18.0,East of England
2004,15 to 44,Non-UK born,204.0,East of England
2004,15 to 44,UK born,36.0,East of England
2004,15 to 44,All places of birth,240.0,East of England
2004,45 to 64,Non-UK born,36.0,East of England
2004,45 to 64,UK born,19.0,East of England
2004,45 to 64,All places of birth,55.0,East of England
2004,65 and older,Non-UK born,22.0,East of England
2004,65 and older,UK born,35.0,East of England
2004,65 and older,All places of birth,57.0,East of England
2005,0 to 14,Non-UK born,9.0,East of England
2005,0 to 14,UK born,18.0,East of England
2005,0 to 14,All places of birth,27.0,East of England
2005,15 to 44,Non-UK born,223.0,East of England
2005,15 to 44,UK born,40.0,East of England
2005,15 to 44,All places of birth,263.0,East of England
2005,45 to 64,Non-UK born,43.0,East of England
2005,45 to 64,UK born,35.0,East of England
2005,45 to 64,All places of birth,78.0,East of England
2005,65 and older,Non-UK born,29.0,East of England
2005,65 and older,UK born,36.0,East of England
2005,65 and older,All places of birth,65.0,East of England
2006,0 to 14,Non-UK born,7.0,East of England
2006,0 to 14,UK born,10.0,East of England
2006,0 to 14,All places of birth,17.0,East of England
2006,15 to 44,Non-UK born,245.0,East of England
2006,15 to 44,UK born,39.0,East of England
2006,15 to 44,All places of birth,284.0,East of England
2006,45 to 64,Non-UK born,49.0,East of England
2006,45 to 64,UK born,25.0,East of England
2006,45 to 64,All places of birth,74.0,East of England
2006,65 and older,Non-UK born,23.0,East of England
2006,65 and older,UK born,24.0,East of England
2006,65 and older,All places of birth,47.0,East of England
2007,0 to 14,Non-UK born,9.0,East of England
2007,0 to 14,UK born,30.0,East of England
2007,0 to 14,All places of birth,39.0,East of England
2007,15 to 44,Non-UK born,203.0,East of England
2007,15 to 44,UK born,31.0,East of England
2007,15 to 44,All places of birth,234.0,East of England
2007,45 to 64,Non-UK born,46.0,East of England
2007,45 to 64,UK born,16.0,East of England
2007,45 to 64,All places of birth,62.0,East of England
2007,65 and older,Non-UK born,17.0,East of England
2007,65 and older,UK born,34.0,East of England
2007,65 and older,All places of birth,51.0,East of England
2008,0 to 14,Non-UK born,11.0,East of England
2008,0 to 14,UK born,23.0,East of England
2008,0 to 14,All places of birth,34.0,East of England
2008,15 to 44,Non-UK born,231.0,East of England
2008,15 to 44,UK born,49.0,East of England
2008,15 to 44,All places of birth,280.0,East of England
2008,45 to 64,Non-UK born,42.0,East of England
2008,45 to 64,UK born,37.0,East of England
2008,45 to 64,All places of birth,79.0,East of England
2008,65 and older,Non-UK born,24.0,East of England
2008,65 and older,UK born,39.0,East of England
2008,65 and older,All places of birth,63.0,East of England
2009,0 to 14,Non-UK born,7.0,East of England
2009,0 to 14,UK born,15.0,East of England
2009,0 to 14,All places of birth,22.0,East of England
2009,15 to 44,Non-UK born,241.0,East of England
2009,15 to 44,UK born,36.0,East of England
2009,15 to 44,All places of birth,277.0,East of England
2009,45 to 64,Non-UK born,66.0,East of England
2009,45 to 64,UK born,27.0,East of England
2009,45 to 64,All places of birth,93.0,East of England
2009,65 and older,Non-UK born,24.0,East of England
2009,65 and older,UK born,54.0,East of England
2009,65 and older,All places of birth,78.0,East of England
2010,0 to 14,Non-UK born,5.0,East of England
2010,0 to 14,UK born,20.0,East of England
2010,0 to 14,All places of birth,25.0,East of England
2010,15 to 44,Non-UK born,253.0,East of England
2010,15 to 44,UK born,35.0,East of England
2010,15 to 44,All places of birth,288.0,East of England
2010,45 to 64,Non-UK born,58.0,East of England
2010,45 to 64,UK born,45.0,East of England
2010,45 to 64,All places of birth,103.0,East of England
2010,65 and older,Non-UK born,30.0,East of England
2010,65 and older,UK born,35.0,East of England
2010,65 and older,All places of birth,65.0,East of England
2011,0 to 14,Non-UK born,6.0,East of England
2011,0 to 14,UK born,15.0,East of England
2011,0 to 14,All places of birth,21.0,East of England
2011,15 to 44,Non-UK born,281.0,East of England
2011,15 to 44,UK born,55.0,East of England
2011,15 to 44,All places of birth,336.0,East of England
2011,45 to 64,Non-UK born,72.0,East of England
2011,45 to 64,UK born,38.0,East of England
2011,45 to 64,All places of birth,110.0,East of England
2011,65 and older,Non-UK born,28.0,East of England
2011,65 and older,UK born,39.0,East of England
2011,65 and older,All places of birth,67.0,East of England
2012,0 to 14,Non-UK born,1.0,East of England
2012,0 to 14,UK born,11.0,East of England
2012,0 to 14,All places of birth,12.0,East of England
2012,15 to 44,Non-UK born,246.0,East of England
2012,15 to 44,UK born,42.0,East of England
2012,15 to 44,All places of birth,288.0,East of England
2012,45 to 64,Non-UK born,62.0,East of England
2012,45 to 64,UK born,38.0,East of England
2012,45 to 64,All places of birth,100.0,East of England
2012,65 and older,Non-UK born,36.0,East of England
2012,65 and older,UK born,37.0,East of England
2012,65 and older,All places of birth,73.0,East of England
2013,0 to 14,Non-UK born,4.0,East of England
2013,0 to 14,UK born,12.0,East of England
2013,0 to 14,All places of birth,16.0,East of England
2013,15 to 44,Non-UK born,221.0,East of England
2013,15 to 44,UK born,43.0,East of England
2013,15 to 44,All places of birth,264.0,East of England
2013,45 to 64,Non-UK born,61.0,East of England
2013,45 to 64,UK born,31.0,East of England
2013,45 to 64,All places of birth,92.0,East of England
2013,65 and older,Non-UK born,28.0,East of England
2013,65 and older,UK born,34.0,East of England
2013,65 and older,All places of birth,62.0,East of England
2014,0 to 14,Non-UK born,4.0,East of England
2014,0 to 14,UK born,9.0,East of England
2014,0 to 14,All places of birth,13.0,East of England
2014,15 to 44,Non-UK born,207.0,East of England
2014,15 to 44,UK born,39.0,East of England
2014,15 to 44,All places of birth,246.0,East of England
2014,45 to 64,Non-UK born,82.0,East of England
2014,45 to 64,UK born,27.0,East of England
2014,45 to 64,All places of birth,109.0,East of England
2014,65 and older,Non-UK born,20.0,East of England
2014,65 and older,UK born,35.0,East of England
2014,65 and older,All places of birth,55.0,East of England
2015,0 to 14,Non-UK born,2.0,East of England
2015,0 to 14,UK born,13.0,East of England
2015,0 to 14,All places of birth,15.0,East of England
2015,15 to 44,Non-UK born,185.0,East of England
2015,15 to 44,UK born,32.0,East of England
2015,15 to 44,All places of birth,217.0,East of England
2015,45 to 64,Non-UK born,69.0,East of England
2015,45 to 64,UK born,26.0,East of England
2015,45 to 64,All places of birth,95.0,East of England
2015,65 and older,Non-UK born,22.0,East of England
2015,65 and older,UK born,31.0,East of England
2015,65 and older,All places of birth,53.0,East of England
2016,0 to 14,Non-UK born,3.0,East of England
2016,0 to 14,UK born,6.0,East of England
2016,0 to 14,All places of birth,9.0,East of England
2016,15 to 44,Non-UK born,209.0,East of England
2016,15 to 44,UK born,43.0,East of England
2016,15 to 44,All places of birth,252.0,East of England
2016,45 to 64,Non-UK born,74.0,East of England
2016,45 to 64,UK born,33.0,East of England
2016,45 to 64,All places of birth,107.0,East of England
2016,65 and older,Non-UK born,19.0,East of England
2016,65 and older,UK born,37.0,East of England
2016,65 and older,All places of birth,56.0,East of England
2017,0 to 14,Non-UK born,2.0,East of England
2017,0 to 14,UK born,4.0,East of England
2017,0 to 14,All places of birth,6.0,East of England
2017,15 to 44,Non-UK born,188.0,East of England
2017,15 to 44,UK born,45.0,East of England
2017,15 to 44,All places of birth,233.0,East of England
2017,45 to 64,Non-UK born,62.0,East of England
2017,45 to 64,UK born,39.0,East of England
2017,45 to 64,All places of birth,101.0,East of England
2017,65 and older,Non-UK born,29.0,East of England
2017,65 and older,UK born,32.0,East of England
2017,65 and older,All places of birth,61.0,East of England
2018,0 to 14,Non-UK born,2.0,East of England
2018,0 to 14,UK born,4.0,East of England
2018,0 to 14,All places of birth,6.0,East of England
2018,15 to 44,Non-UK born,179.0,East of England
2018,15 to 44,UK born,35.0,East of England
2018,15 to 44,All places of birth,214.0,East of England
2018,45 to 64,Non-UK born,63.0,East of England
2018,45 to 64,UK born,23.0,East of England
2018,45 to 64,All places of birth,86.0,East of England
2018,65 and older,Non-UK born,11.0,East of England
2018,65 and older,UK born,25.0,East of England
2018,65 and older,All places of birth,36.0,East of England
2019,0 to 14,Non-UK born,5.0,East of England
2019,0 to 14,UK born,13.0,East of England
2019,0 to 14,All places of birth,18.0,East of England
2019,15 to 44,Non-UK born,167.0,East of England
2019,15 to 44,UK born,38.0,East of England
2019,15 to 44,All places of birth,205.0,East of England
2019,45 to 64,Non-UK born,85.0,East of England
2019,45 to 64,UK born,42.0,East of England
2019,45 to 64,All places of birth,127.0,East of England
2019,65 and older,Non-UK born,28.0,East of England
2019,65 and older,UK born,30.0,East of England
2019,65 and older,All places of birth,58.0,East of England
2020,0 to 14,Non-UK born,5.0,East of England
2020,0 to 14,UK born,15.0,East of England
2020,0 to 14,All places of birth,20.0,East of England
2020,15 to 44,Non-UK born,154.0,East of England
2020,15 to 44,UK born,43.0,East of England
2020,15 to 44,All places of birth,197.0,East of England
2020,45 to 64,Non-UK born,79.0,East of England
2020,45 to 64,UK born,26.0,East of England
2020,45 to 64,All places of birth,105.0,East of England
