utla,year,population,pct_age_65plus,pct_age_15_44,intl_in_per_1000,hiv_prev,diabetes_prev,tb_count,ddd_antiproliferative,ddd_antituberculosis_active,ddd_antituberculosis_mdr,ddd_antituberculosis_rifamycin_isoniazid,ddd_il6_abatacept,ddd_jak_inhibitor_rheum,ddd_low_tb_risk_biologic,ddd_negative_control_levetiracetam,ddd_rituximab,ddd_ruxolitinib,ddd_systemic_glucocorticoid,ddd_tnf_inhibitor,ddd_transplant_cni_mtor,pred_mg_antiproliferative,pred_mg_antituberculosis_active,pred_mg_antituberculosis_mdr,pred_mg_antituberculosis_rifamycin_isoniazid,pred_mg_il6_abatacept,pred_mg_jak_inhibitor_rheum,pred_mg_low_tb_risk_biologic,pred_mg_negative_control_levetiracetam,pred_mg_rituximab,pred_mg_ruxolitinib,pred_mg_systemic_glucocorticoid,pred_mg_tnf_inhibitor,pred_mg_transplant_cni_mtor,pct_non_uk_born,principal_trust,rate_antituberculosis_active,rate_antituberculosis_rifamycin_isoniazid,rate_tnf_inhibitor,rate_il6_abatacept,rate_jak_inhibitor_rheum,rate_rituximab,rate_transplant_cni_mtor,rate_antiproliferative,rate_systemic_glucocorticoid,rate_low_tb_risk_biologic,rate_negative_control_levetiracetam,rate_glucocorticoid_pred_mg
E08000002,2015,189254,17.64401280818371,36.85364642226848,4.945734304162659,1.843046188,7.23727797583367,17,,,,,,,,,,,,,,,,,,,,,,,,,,,12.072078578650869,RM3,,,,,,,,,,,,
E08000002,2016,190470,17.70462540032551,36.530687247335536,5.670184280989132,1.824985743,7.33963301834908,11,,,,,,,,,,,,,,,,,,,,,,,,,,,12.072078578650869,RM3,,,,,,,,,,,,
E08000002,2017,191896,17.850815024805105,36.38429149122441,5.273689915370825,1.893121362,7.39612291501191,19,,,,,,,,,,,,,,,,,,,,,,,,,,,12.072078578650869,RM3,,,,,,,,,,,,
E08000002,2018,192900,18.040435458786938,36.35510627268015,5.230689476412649,2.023900509,7.51906965880523,13,,,,,,,,,,,,,,,,,,,,,,,,,,,12.072078578650869,RM3,,,,,,,,,,,,
E08000002,2019,193763,18.18561851333846,36.46258573618286,5.408669353798197,2.165753603,7.50747452559644,18,121452.23071202825,2041.1848000226157,0.7003214956961272,9456.080202472776,8236.314785060536,3096.793329069413,61189.84866109253,11068.872872338216,38261.66422841676,1165.12904972746,242404.266232751,119419.40884711703,70844.14844330522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2628903.1798762693,0.0,0.0,12.072078578650869,RM3,0.02886148089857007,0.13370493359346533,1.6885394146191024,0.1164579717823693,0.04378733445044554,0.5410035834402239,1.0017059881345687,1.7172826471885794,3.4274927480994966,0.8651983143804267,0.15650913281842496,13567.622197613939
E08000002,2020,193604,18.274415817855004,36.557095927770085,4.788124212309663,2.175857306,7.37818038118977,13,112703.31906340118,1839.8426289270803,1.4304439061027279,6445.007711611234,8881.486982312654,5378.165362003321,74262.49350472202,10926.457005427013,29564.64926783232,1395.2154878029341,203509.14018940902,135174.88563103104,60981.06435948174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2196447.688322557,0.0,0.0,12.072078578650869,RM3,0.026035953476098227,0.09120449667505504,1.9128848185666807,0.1256835656671966,0.07610741318323437,0.4183748222658187,0.8629543253448253,1.594885522055629,2.8798954990091206,1.0509022867002071,0.15462231485406042,11345.053244367664
E08000002,2021,193866,18.382284670855128,36.76353770129884,4.853868135722613,2.12561965,7.4778406454684,9,141363.78200162822,2493.9978825558414,103.51392246156539,9568.931846553349,13155.638931109388,8422.919786821321,94251.70918017298,12766.772597305846,41913.316246001115,1779.3081088977817,254197.79928271184,177840.15746980548,72374.64440923066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2705243.9688597065,0.0,0.0,12.072078578650869,RM3,0.0352453287895345,0.13522872310973938,2.513247852312697,0.1859162843747798,0.11903321142765497,0.5923215180263773,1.022802848418964,1.9977615099149577,3.5923386607344776,1.331970849801395,0.18042080184612538,13954.195005105106
E08000002,2022,194740,18.39118825100133,37.044264147067885,12.488446133305946,2.121608734,7.70438461400176,11,189695.80292431952,4095.978987662806,294.41859903474636,13588.671048514814,13769.301586418384,12365.122259598911,132081.3891017208,17929.785445224785,59035.05712284237,2342.5253746592534,326484.35083895235,230593.23751113898,70354.2987832154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440510.867730041,0.0,0.0,12.072078578650869,RM3,0.05762483434411047,0.19117405643091123,3.2441321482544194,0.19371528158258616,0.1739603948165367,0.8305426852641228,0.9897889674214781,2.66876105864116,4.59318924479499,1.8582048857798565,0.2522476114302707,17667.20174453138
E08000002,2023,196160,18.449734910277325,37.47960848287113,12.382748776508972,2.294217587,7.92918633054284,15,195625.15535054618,3710.410999154604,158.31238945479654,13422.980384882376,15214.782185727643,19967.505767682112,157799.5739250065,17796.68719743462,64559.73600909118,2374.635572883211,343689.08479191473,256783.04762030745,74096.58476245371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3620270.6031868276,0.0,0.0,12.072078578650869,RM3,0.05182254071535962,0.18747598249237937,3.5864355575027855,0.21250170654271103,0.2788820108784849,0.901692440181501,1.0348916283388137,2.7322559631297096,4.800234150370884,2.20395391412387,0.24856263823541613,18455.702504011155
E08000002,2024,198136,18.504461581943715,37.85228328017119,12.5267493035087,2.34781146,8.10802863,13,190877.13012610868,3661.1152808969573,131.8684567078853,14242.711297859807,15430.509626110514,26758.28058408347,166839.12446631945,17622.968608783904,74373.1253515885,2376.9968486823554,347975.1079997782,267371.13112779876,75020.42504000432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3657170.8395667425,0.0,0.0,12.072078578650869,RM3,0.05062408055262661,0.19694112550698273,3.6970749733792747,0.21336540981274954,0.3700001905994481,1.0283945737504847,1.0373451117843553,2.639353986359842,4.811626661855316,2.306968403967711,0.2436816417889235,18457.88165485698
E08000003,2011,502902,9.470035911569251,54.11909278547312,,5.524878025,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3869393345387,R0A,,,,,,,,,,,,
E08000003,2012,506869,9.550199361176162,53.44990520233039,25.306341480737625,5.672055721,5.80363659492975,181,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3869393345387,R0A,,,,,,,,,,,,
E08000003,2013,510783,9.583521769518562,52.765460087747634,26.935117261146125,5.81612587,5.88344881801219,166,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3869393345387,R0A,,,,,,,,,,,,
E08000003,2014,515360,9.578352995963986,52.146266687364175,28.80316671841043,5.871157169,6.16197222998475,135,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3869393345387,R0A,,,,,,,,,,,,
E08000003,2015,523321,9.485382776536772,51.828418886304966,30.78225410407761,6.031349659,6.30224946750481,122,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3869393345387,R0A,,,,,,,,,,,,
E08000003,2016,533446,9.394202974621612,51.60241149057261,32.39690615357506,6.197357178,6.34510866829238,135,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3869393345387,R0A,,,,,,,,,,,,
E08000003,2017,536961,9.404779862969564,51.23556459407666,27.60721914626947,5.974056721,6.40160995272142,121,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3869393345387,R0A,,,,,,,,,,,,
E08000003,2018,540675,9.420816571877744,51.05507005132473,30.191889767420356,6.061942101,6.4279160476196,88,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3869393345387,R0A,,,,,,,,,,,,
E08000003,2019,545947,9.429486745050344,50.99011442502661,34.37513165197354,6.163156033,6.40436493190998,130,393319.4149273644,8728.158688525782,0.30038137502360135,35211.12879956575,40822.59132810465,12537.664809458458,104956.58830766323,27802.78062372036,111259.82576558561,3007.644546123508,768603.0179383412,349137.8076866753,275909.36739181913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8386084.057107594,0.0,0.0,31.3869393345387,R0A,0.04380052190085782,0.17670002037964772,1.7520783864873395,0.20486002481451496,0.06291776784423406,0.558335223847112,1.3845960780919757,1.973794962069876,3.8570808026818666,0.5267036850341222,0.13952270405153414,15360.619358852771
E08000003,2020,547340,9.459202689370407,50.91606679577593,33.657324514926735,5.878163338,6.45973994193742,104,359106.90775226534,7329.929631712131,0.4652424090995199,22817.111127653297,38040.2097959542,21960.431693809387,132559.41247638466,26235.783683018908,97017.3972091087,4073.162936426236,628927.4047415848,381494.61328234314,231911.04855312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6939773.516099004,0.0,0.0,31.3869393345387,R0A,0.03669017245403614,0.11421170246363757,1.9095821999515623,0.19041135832504102,0.10992356905106383,0.485623357043398,1.1608373876602707,1.7975198994903137,3.1481141157487684,0.6635299311909236,0.13132396573524913,12679.090722583776
E08000003,2021,550630,9.553783847592758,51.04607449648584,31.48575268329005,6.007080555,6.58435330711182,114,405387.85268374183,8630.956516824743,280.7418656667329,31920.960845446196,42379.31975806723,32744.492503130394,165928.33108663544,29806.935220358966,97488.22555817744,5857.98960853564,742325.8072271557,443140.7148965597,269755.3946991926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8072140.790962727,0.0,0.0,31.3869393345387,R0A,0.042944365927172046,0.1588265936251163,2.2049001151436234,0.21086342074454306,0.16292417479022356,0.4850644333336605,1.3422005264664092,2.0170561923402897,3.693531654412073,0.825596439279816,0.14830800395939478,14659.827453939537
