utla,year,population,pct_age_65plus,pct_age_15_44,international_in,intl_in_per_1000,asylum_supported,asylum_per_1000,diabetes_prev,hiv_prev,area_name,tb_count,tb_denominator,items_total,items_antituberculosis,items_oral_glucocorticoids,items_oral_hydrocortisone,items_oral_dexamethasone,items_inhaled_corticosteroids,items_conventional_dmards,items_transplant_immunosuppressants,items_proton_pump_inhibitors,items_statins,items_metformin,items_insulins,items_fluoroquinolones,items_all_antibacterials,items_vitamin_d,items_levothyroxine,mg_pred_equivalent,adq_antituberculosis,adq_oral_glucocorticoids,adq_oral_hydrocortisone,adq_oral_dexamethasone,adq_inhaled_corticosteroids,adq_conventional_dmards,adq_transplant_immunosuppressants,adq_proton_pump_inhibitors,adq_statins,adq_metformin,adq_insulins,adq_fluoroquinolones,adq_all_antibacterials,adq_vitamin_d,adq_levothyroxine,rate_total_items,rate_antituberculosis,rate_oral_glucocorticoids,rate_oral_hydrocortisone,rate_oral_dexamethasone,rate_inhaled_corticosteroids,rate_conventional_dmards,rate_transplant_immunosuppressants,rate_proton_pump_inhibitors,rate_statins,rate_metformin,rate_insulins,rate_fluoroquinolones,rate_all_antibacterials,rate_vitamin_d,rate_levothyroxine
E10000015,2024,1233983,17.591085128401282,37.8158370090998,19026.0,15.418364758671716,1641.5833333333333,1.3303127622773843,6.90434794,1.832919002,Hertfordshire,220.0,3662700.0,22660675.0,311.0,128014.0,9818.0,4091.0,424686.0,68568.0,8553.0,1384937.0,1811833.0,499346.0,155709.0,9092.0,630577.0,521456.0,721375.0,24614328.863,,,,,22495707.66664,,,53122603.54715,81558099.16427,15518249.99138,,118942.66681,6567478.7361,,15229468.75,18363.84698978835,0.2520294039707192,103.74048913153584,7.956349479692993,3.3152806805280135,344.1587120730188,55.56640569602661,6.931213801162577,1122.330696614135,1468.2803571848235,404.66197670470336,126.1840722278994,7.36801074244945,511.00947095705527,422.5795655207568,584.5907115414069
E10000015,2025,1239398,17.855846144660553,37.67853425614694,,,1715.5,1.38413971944444,,,Hertfordshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000016,2011,1466466,18.06594902302542,37.449419215992734,,,,,,0.985740662,Kent,327.0,4353640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000016,2012,1478262,18.72239156522998,37.06041283615489,10623.0,7.186141563538804,,,6.01453321807814,1.045690179,Kent,331.0,4396633.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000016,2013,1490021,19.163622526125472,36.79813908663032,10803.0,7.250233385972412,,,6.17867766579094,1.104824424,Kent,334.0,4434749.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000016,2014,1506187,19.478125890078722,36.58416916358991,12409.0,8.238684837938449,13.666666666666666,0.009073685184287653,6.22230811677887,1.154968381,Kent,323.0,4474470.0,27938367.0,1328.0,196309.0,8935.0,6843.0,511284.0,98219.0,11715.0,1497490.0,1830034.0,488085.0,185311.0,23889.0,1028125.0,465895.0,870904.0,44038137.71,,,,,33394579.16656,,,58531332.4327,70184459.32271,16666623.33009,,240664.49993,11178564.483,,19387521.3,18549.069272274955,0.8816966286390734,130.33507791529206,5.932198325971476,4.543260564591249,339.45585773878014,65.21036232552797,7.777918678092428,994.2258165818719,1215.011150673854,324.05338779314917,123.03319574528263,15.86058039274008,682.6011643972495,309.32082138539243,578.217711346599
E10000016,2015,1517016,19.68291698966919,36.27364510328171,12555.0,8.27611574301128,16.416666666666668,0.010821683269435963,6.37155402704263,1.215055585,Kent,298.0,4513224.0,28520253.0,1268.0,201176.0,9725.0,7071.0,527695.0,100144.0,11536.0,1568864.0,1856463.0,505271.0,192525.0,20889.0,987437.0,501456.0,891904.0,44728764.145,,,,,33515209.33328,,,62855630.19994,73440050.95626,17358542.79731,,224344.19976,10980702.9577,,19972838.35,18800.23216630543,0.8358514346585666,132.61297178144463,6.410611358087192,4.661124206995839,347.8506489054829,66.0138060508261,7.60440232667289,1034.177622384998,1223.7596703001154,333.0689986130667,126.91032922526854,13.76979544052271,650.907439341444,330.55419323197646,587.9331529792698
E10000016,2016,1531022,19.823033241847604,36.039913208301385,13531.0,8.837887371964609,15.5,0.01012395641604105,6.54223493057002,1.281859994,Kent,283.0,4554225.0,28784060.0,1251.0,204392.0,10149.0,6950.0,530995.0,99812.0,11516.0,1597733.0,1848130.0,525339.0,197870.0,19548.0,969394.0,509183.0,909570.0,44840398.992,,,,,33073227.16657,,,64895293.86601,74602605.48995,18070140.66356,,216312.90052,10869611.04085,,20268409.2,18800.55283333616,0.8171012565462809,133.50036772822338,6.628905397832297,4.539451425257116,346.82388626682047,65.19305405147672,7.521773037879273,1043.5728552561623,1207.1217787856738,343.12962191268315,129.24046813174468,12.767941936823899,633.1679100626901,332.5771935347761,594.0933572476424
E10000016,2017,1542707,19.901186680296387,35.828060675163854,11661.0,7.558791137915366,21.5,0.013936541417132353,6.61797243201672,1.340268135,Kent,277.0,4590745.0,28689220.0,1104.0,206289.0,10747.0,7364.0,531564.0,97469.0,10634.0,1603401.0,1858653.0,536393.0,202020.0,19878.0,940511.0,521609.0,912429.0,45313377.838,,,,,32426337.66655,,,66109916.88244,76854524.15821,18460680.76191,,220699.89975,10644417.66515,,20407932.7,18596.674546754504,0.7156251964890287,133.71884615808446,6.966326074880065,4.773427488175007,344.56575357472286,63.18050025053363,6.893078206036532,1039.3425323149504,1204.7997448640604,347.6959655981336,130.9516324227478,12.88514280417474,609.6497909194682,338.11281079297623,591.4467231950073
E10000016,2018,1552853,20.014579615713785,35.60414282614001,11929.0,7.681989215978589,24.666666666666664,0.015884740324207548,6.7743395967642,1.328315973,Kent,278.0,4626582.0,28777417.0,834.0,201177.0,11302.0,7107.0,532803.0,96274.0,10759.0,1613797.0,1886426.0,549467.0,207487.0,19111.0,895266.0,529169.0,927287.0,43871378.238,,,,,32045306.99995,,,66767281.5256,79685040.65843,18877595.82698,,221430.7667,10097475.74775,,20794128.55,18531.964712693345,0.537075949880639,129.5531515217474,7.2782162896294755,4.576737141249043,343.11232293076034,61.99814148538207,6.92853734384388,1039.2464708507503,1214.8129926013603,353.8435383130277,133.6166398236021,12.307024554159344,576.5297809902161,340.77211429542916,597.1505351762208
