drug,model,term,irr_10pct,ci_low,ci_high,upper90,se_log_irr_10pct,p,n_obs,n_areas,years,q_fdr,max_compatible_paf_pct
oral_hydrocortisone,+ asylum support (t-1),exposure_lag1,0.9962707457439379,0.9835652707756622,1.0091403471804472,1.0070608619233805,0.006548496062434234,0.5683067044224447,2353,291,2015-2024,,7.0608619233805054
oral_hydrocortisone,exclude COVID years (t-1),exposure_lag1,1.0019043567851413,0.987226273054363,1.0168006743169118,1.0143917714404838,0.007529876669324675,0.8005261205766363,2351,294,2014-2024,,14.391771440483744
oral_hydrocortisone,outcome years 2018-2024 (t-1),exposure_lag1,0.9943196473686088,0.9783133166138616,1.0105878600990785,1.007955487577077,0.008279973687009655,0.49145846311966856,2058,294,2018-2024,,7.9554875770770845
oral_hydrocortisone,EPD exposure only (t-1),exposure_lag1,0.9983101318885143,0.987085413655166,1.0096624928746323,1.0078293379076066,0.005769085247953421,0.7693955487193184,2939,294,2015-2024,,7.829337907606641
oral_dexamethasone,primary (t-1),exposure_lag1,1.0043142120103408,0.9939644775465437,1.0147717139103902,1.013083729586469,0.005285072610319237,0.415332477946442,3233,294,2014-2024,0.8019461635761193,13.083729586468962
oral_dexamethasone,FE only (t-1),exposure_lag1,1.0059016466285429,0.9935789872669699,1.0183771352424325,1.0163617607052462,0.006288783793125796,0.3494370777391437,3234,294,2014-2024,,16.361760705246184
oral_dexamethasone,"distributed lag (t, t-1, t-2)",exposure,1.0008350061315217,0.9910460070476965,1.0107206954823793,1.0091253635588548,0.005014784982681191,0.86781118466207,3233,294,2014-2024,,9.12536355885484
oral_dexamethasone,"distributed lag (t, t-1, t-2)",exposure_lag1,1.0036089743510794,0.9938890347211881,1.0134239721042704,1.0118401124530758,0.004965403712258496,0.468135805749902,3233,294,2014-2024,,11.840112453075802
oral_dexamethasone,"distributed lag (t, t-1, t-2)",exposure_lag2,1.0009117883154972,0.9908149919524432,1.011111475023999,1.0094652572412737,0.005172868985373907,0.8601499765727659,3233,294,2014-2024,,9.465257241273664
oral_dexamethasone,"lag and lead (t-1, t+1)",exposure_lag1,1.003483589987507,0.9927729216013724,1.0143098119053522,1.0125620387645802,0.005474926828317395,0.525314322698234,2939,294,2014-2023,,12.56203876458016
oral_dexamethasone,"lag and lead (t-1, t+1)",exposure_lag-1,1.0033047801389867,0.9929588702055774,1.0137584869364573,1.0120711105127604,0.00528845249072879,0.5327099210870372,2939,294,2014-2023,,12.071110512760432
oral_dexamethasone,prior 3 years (t-3..t-1),exposure_prior3,1.0094129557505134,0.9940275378249761,1.0250365070030825,1.0225093670690182,0.007836376837890393,0.23186475885286795,3233,294,2014-2024,,22.509367069018165
oral_dexamethasone,+ area trends (t-1),exposure_lag1,0.9964929668132391,0.9861247725642466,1.0069701730807668,1.0052789370566426,0.005336321917942408,0.5103096795979598,3233,294,2014-2024,,5.278937056642614
oral_dexamethasone,population covariate (t-1),exposure_lag1,1.0044619908799028,0.9941470629748254,1.014883942928238,1.0132017225844363,0.005266427705070451,0.39790580215566507,3233,294,2014-2024,,13.201722584436293
oral_dexamethasone,+ LTBI programme (t-1),exposure_lag1,1.0046925531766506,0.9941753152485704,1.0153210514548314,1.013605347739277,0.005369026459021993,0.38323008152498683,3233,294,2014-2024,,13.605347739277004
oral_dexamethasone,+ asylum support (t-1),exposure_lag1,1.003493490417709,0.9926688486162301,1.0144361704454241,1.0126695115811197,0.005533448313761637,0.528537348869075,2353,291,2015-2024,,12.669511581119716
oral_dexamethasone,exclude COVID years (t-1),exposure_lag1,1.0090146974330148,0.9978230479043191,1.0203318732455906,1.0185045175725698,0.005690628929510105,0.1147880134029993,2351,294,2014-2024,,18.50451757256975
oral_dexamethasone,outcome years 2018-2024 (t-1),exposure_lag1,0.9981437069119165,0.9860697379694418,1.0103655160328395,1.0083912513971447,0.006209275806970561,0.7647625288782616,2058,294,2018-2024,,8.391251397144686
oral_dexamethasone,EPD exposure only (t-1),exposure_lag1,1.003859070957727,0.9936746522058402,1.014147872351441,1.012487231041921,0.005202592557635103,0.4590987911006903,2939,294,2015-2024,,12.487231041921056
inhaled_corticosteroids,primary (t-1),exposure_lag1,0.98107381543834,0.9354292501771362,1.0289456216560244,1.021097296172236,0.024307238159483907,0.43181716500252576,3233,294,2014-2024,0.8019461635761193,21.09729617223597
inhaled_corticosteroids,FE only (t-1),exposure_lag1,0.951881484157109,0.9049617685069369,1.001233854747307,0.9931330207677231,0.02578971303376529,0.05585226576501549,3234,294,2014-2024,,0.0
