scenario,seed,log_irr_10pct,p,rejected_two_sided,detected_correct_direction
IRR 1.05 per 10%,5092,0.06117716493353439,2.9445661756747467e-05,True,True
IRR 1.05 per 10%,5093,0.028439882397958662,0.10474241990543835,False,False
IRR 1.05 per 10%,5094,0.06404762092196963,0.00010133959394706129,True,True
IRR 1.05 per 10%,5095,0.058406160461047456,7.388336553209949e-05,True,True
IRR 1.05 per 10%,5096,0.019841544368516033,0.2756762662628818,False,False
IRR 1.05 per 10%,5097,0.016241496689993227,0.32981302758134046,False,False
IRR 1.05 per 10%,5098,0.0712653965115447,0.00018532809675789286,True,True
IRR 1.05 per 10%,5099,0.037728785476690015,0.030497513283106178,True,True
IRR 1.05 per 10%,5100,0.03938925477699138,0.026087298721225154,True,True
IRR 1.05 per 10%,5101,0.04061752833621702,0.021604473581598792,True,True
IRR 1.05 per 10%,5102,0.042584890208721644,0.02159243755059734,True,True
IRR 1.05 per 10%,5103,0.03184014850042347,0.10227151286777107,False,False
IRR 1.05 per 10%,5104,-0.0012977644248404517,0.9259939361698801,False,False
IRR 1.05 per 10%,5105,0.054726295219467445,0.007628457014888024,True,True
IRR 1.05 per 10%,5106,0.04715623209316854,0.004825376476060386,True,True
IRR 1.05 per 10%,5107,0.03397648773620734,0.034444126040770254,True,True
IRR 1.05 per 10%,5108,0.06246715262607304,0.0003694929735696126,True,True
IRR 1.05 per 10%,5109,0.0527995383950104,0.0026876260460057273,True,True
IRR 1.05 per 10%,5110,0.06323377644845009,0.0007501480966098913,True,True
IRR 1.05 per 10%,5111,0.035626357471731485,0.03005111985070639,True,True
IRR 1.05 per 10%,5112,0.04712709004107554,0.0029365431633829905,True,True
IRR 1.05 per 10%,5113,0.06710949762152756,7.166071019234092e-05,True,True
IRR 1.05 per 10%,5114,0.07063542171706885,3.0949388697794953e-06,True,True
IRR 1.05 per 10%,5115,0.06356032368553154,0.0008408058208581936,True,True
IRR 1.05 per 10%,5116,0.022709372711305194,0.17070083642742762,False,False
IRR 1.05 per 10%,5117,0.0680160428651284,4.8184130168222285e-06,True,True
IRR 1.05 per 10%,5118,0.03740719124293158,0.023115383672032717,True,True
IRR 1.05 per 10%,5119,0.07138710974606545,4.863141581966957e-06,True,True
IRR 1.05 per 10%,5120,0.03310260442421811,0.06665504888045262,False,False
IRR 1.05 per 10%,5121,0.028190299418988762,0.1243484061280735,False,False
IRR 1.05 per 10%,5122,0.05864740462151127,0.0013201681743636926,True,True
IRR 1.05 per 10%,5123,0.06080976935555481,0.0019707628912948518,True,True
IRR 1.05 per 10%,5124,0.02213044805523363,0.1311857772890855,False,False
IRR 1.05 per 10%,5125,0.039846714312264137,0.0037740717691994914,True,True
IRR 1.05 per 10%,5126,0.03505637012652491,0.036881180313427187,True,True
IRR 1.05 per 10%,5127,0.040671559559497784,0.015045329129551263,True,True
IRR 1.05 per 10%,5128,0.08253053579209974,1.0760537821157013e-09,True,True
IRR 1.05 per 10%,5129,0.05898509341374999,0.000598926107863472,True,True
IRR 1.05 per 10%,5130,0.05180367568718522,0.003336894694341228,True,True
IRR 1.05 per 10%,5131,0.0521725040699051,0.007371013391131472,True,True
IRR 1.05 per 10%,5132,0.0379578168866815,0.01456036382461546,True,True
IRR 1.05 per 10%,5133,0.03319878170561115,0.0323095091594571,True,True
IRR 1.05 per 10%,5134,0.08047638113956133,2.9043165098070343e-06,True,True
IRR 1.05 per 10%,5135,0.050344977891052745,0.010947691490229972,True,True
IRR 1.05 per 10%,5136,0.04270755764961816,0.012767821996580829,True,True
IRR 1.05 per 10%,5137,0.05723624257695005,0.0010115035432818813,True,True
IRR 1.05 per 10%,5138,0.032438753050612786,0.11262737421743672,False,False
IRR 1.05 per 10%,5139,0.06779527162894078,2.3458321853292673e-05,True,True
IRR 1.05 per 10%,5140,0.05295648955907036,0.0017807456775464701,True,True
IRR 1.05 per 10%,5141,0.0412912567912803,0.013461097196379074,True,True
IRR 1.05 per 10%,5142,0.06311555156176353,8.270359073148238e-05,True,True
IRR 1.05 per 10%,5143,0.05423372138700077,0.0012639009727460702,True,True
IRR 1.05 per 10%,5144,0.03214188240723607,0.07198259993480005,False,False
IRR 1.05 per 10%,5146,0.052753075741014704,0.0008430776794634717,True,True
IRR 1.05 per 10%,5145,0.06157717941346818,0.001724991419597415,True,True
