scenario,seed,irr_10pct,p,detected
RR 25,2171,1.0376537826332015,0.012826136251319868,True
RR 25,2172,1.0015843389005472,0.9337590485635533,False
RR 25,2173,1.0241175321274911,0.14110861186594884,False
RR 25,2174,1.0191341027600858,0.28712995678931386,False
RR 25,2175,0.9682241130236732,0.029939647629735118,False
RR 25,2176,1.0322268816560018,0.08466191890703002,False
RR 25,2177,1.0074266929780291,0.6909677182716578,False
RR 25,2178,1.047122797041536,0.02150797257969922,True
RR 25,2179,1.057351498693935,0.008262508545919338,True
RR 25,2180,0.9854182202564343,0.4437544580830618,False
RR 25,2181,1.0193864069391678,0.29087057183585807,False
RR 25,2182,1.0108801786017103,0.5638544552818265,False
RR 25,2183,0.9990537128522388,0.9656468512424792,False
RR 25,2184,0.9910768528980981,0.5888206213732936,False
RR 25,2185,0.9994890730855375,0.9776490071029051,False
RR 25,2186,1.0162744024394577,0.3528028244004374,False
RR 25,2187,0.9965415412546794,0.861932791107167,False
RR 25,2188,1.0067479996567676,0.7713481794821856,False
RR 25,2189,1.020995580856221,0.2564925908668493,False
RR 25,2190,1.0341829193657028,0.05778591522669513,False
RR 25,2191,0.9998189374545257,0.994275516081524,False
RR 25,2192,1.0206012384081684,0.21337866937236616,False
RR 25,2193,0.9844151311976259,0.3286345802858125,False
RR 25,2194,1.0191112360006607,0.26606197291998335,False
RR 25,2195,1.0402756058305163,0.034574364757894625,True
RR 25,2196,1.042972607059102,0.008668937828425807,True
RR 25,2197,1.0179293150467361,0.28345749958164,False
RR 25,2198,1.0388855173025726,0.0730505689329524,False
RR 25,2199,1.0309828019184437,0.030154693644906052,True
RR 100,3000,1.0453058629369538,0.006651937824458765,True
RR 100,3001,1.0946826744410152,8.743527102303115e-06,True
RR 100,3002,1.0531651098914943,0.009525439513576262,True
RR 100,3003,1.0491483995487831,0.002084306695245436,True
RR 100,3004,1.0086005533198528,0.6723388317072276,False
RR 100,3005,1.0860263485962656,5.332217485478051e-05,True
RR 100,3006,1.0381619058299327,0.08344182229852816,False
RR 100,3007,1.0265526151822528,0.15237758256662212,False
