drug,model,term,irr_10pct,ci_low,ci_high,upper90,se_log_irr_10pct,p,n_obs,n_areas,years,q_fdr,max_compatible_paf_pct
antituberculosis,+ asylum support (t-1),exposure_lag1,1.0002760954160328,0.996568594625803,1.003997389097373,1.0033983916935265,0.0018945731922571686,0.8841507231048339,1394,150,2015-2024,,3.398391693526511
antituberculosis,exclude COVID years (t-1),exposure_lag1,1.0004584868873927,0.9961143906677203,1.0048215278910604,1.00411904377521,0.0022201835401558893,0.8364306498450128,1207,151,2014-2024,,4.119043775210104
oral_glucocorticoids,primary (t-1),exposure_lag1,0.9871145171861531,0.9399257474194471,1.0366723889784273,1.0285431047102318,0.024992437848923337,0.60381248662313,1660,151,2014-2024,0.9001498462985842,28.54310471023178
oral_glucocorticoids,FE only (t-1),exposure_lag1,0.9788424864351829,0.9247973426353095,1.0360460276846266,1.0266320851090178,0.028977608579982148,0.46053402394814014,1661,151,2014-2024,,26.6320851090178
oral_glucocorticoids,"distributed lag (t, t-1, t-2)",exposure,0.9530373058332667,0.9110639581470762,0.996944394724157,0.9897538463366251,0.02298007512479472,0.0363338785942393,1660,151,2014-2024,,0.0
oral_glucocorticoids,"distributed lag (t, t-1, t-2)",exposure_lag1,1.0150315819361075,0.9562925921618788,1.0773785353691334,1.0671061544798133,0.030413816953109712,0.6237394238498498,1660,151,2014-2024,,67.10615447981321
oral_glucocorticoids,"distributed lag (t, t-1, t-2)",exposure_lag2,1.0112772543340867,0.9638255572576699,1.0610651247340648,1.0529012558631132,0.02451994801486155,0.6474211984040081,1660,151,2014-2024,,52.90125586311317
oral_glucocorticoids,"lag and lead (t-1, t+1)",exposure_lag1,1.013758944734355,0.9567046014837924,1.0742157991453156,1.0642617961249115,0.02955395733917894,0.6438090568201325,1509,151,2014-2023,,64.2617961249114
oral_glucocorticoids,"lag and lead (t-1, t+1)",exposure_lag-1,0.9453408274822619,0.9032355721053653,0.9894088626533833,0.9821903917661007,0.02324598463518664,0.015604302655533094,1509,151,2014-2023,,0.0
oral_glucocorticoids,prior 3 years (t-3..t-1),exposure_prior3,0.9937827850092196,0.9403391834259878,1.050263820957125,1.0409746359829792,0.02820306786600267,0.8249890596060188,1660,151,2014-2024,,40.974635982979194
oral_glucocorticoids,+ area trends (t-1),exposure_lag1,1.0019753887427423,0.9392835554935749,1.068851545174355,1.057810059376671,0.03296495385509695,0.9522633185414524,1660,151,2014-2024,,57.810059376671006
oral_glucocorticoids,population covariate (t-1),exposure_lag1,0.9900973946177405,0.9421446243480586,1.0404908391927372,1.0322222250441315,0.02532883921819351,0.6943857199995747,1660,151,2014-2024,,32.22222504413149
oral_glucocorticoids,+ LTBI programme (t-1),exposure_lag1,0.9887358733616088,0.9398809629646827,1.0401302566960047,1.0316937988561434,0.02585408138127119,0.6612752628689932,1660,151,2014-2024,,31.693798856143403
oral_glucocorticoids,+ asylum support (t-1),exposure_lag1,0.9947178930209827,0.9477938131158686,1.0439651251185582,1.035889023077712,0.024654178811175386,0.8299109502351596,1394,150,2015-2024,,35.889023077712
oral_glucocorticoids,exclude COVID years (t-1),exposure_lag1,0.9963684474349787,0.9470605249154482,1.0482435461372657,1.0397278947422028,0.025894955567692727,0.8882673504669968,1207,151,2014-2024,,39.72789474220281
oral_hydrocortisone,primary (t-1),exposure_lag1,0.9981338938468001,0.9829439833013314,1.013558541453891,1.0110635996284583,0.007824130822231918,0.8113154732124341,1660,151,2014-2024,0.9001498462985842,11.063599628458254
