outcome,exposure,model,lag_years,n_obs,years,irr_per_10pct,ci_low,ci_high,p_cluster_t8,p_randomisation,analysis,mde_pct_10pct
"TB, UK born aged 65+",rate_oral_glucocorticoids,FE + migration + age,1,117,2012-2024,1.0485368116062153,0.7524501696169096,1.461132563573045,0.75032433492344,0.79,lagged exposure,58.36313296793958
"TB, UK born aged 65+",rate_oral_glucocorticoids,FE + migration + age,2,108,2013-2024,1.0589985398285704,0.747698920118897,1.4999057470628818,0.7140017905910152,0.712,lagged exposure,61.971716492335815
"TB, UK born aged 65+",rate_oral_glucocorticoids,FE + migration + age,3,99,2014-2024,0.8540198348205436,0.4843324127896581,1.5058869879593615,0.5390932217080922,0.578,lagged exposure,119.4191199602293
"TB, UK born aged 65+",rate_oral_glucocorticoids,FE + migration + age,1,99,2012-2024,1.0934759153293212,0.8025705882696423,1.4898248140181996,0.5239972014547419,0.592,"lagged, excluding 2020-21",53.49854894485744
"TB, UK born aged 65+",rate_oral_glucocorticoids,FE + migration + age,2,90,2013-2024,1.1026412760487267,0.7937072728131926,1.5318213972476975,0.5124743841862087,0.472,"lagged, excluding 2020-21",57.69160398341007
"TB, UK born aged 65+",rate_oral_glucocorticoids,FE + migration + age,3,81,2014-2024,0.8800452181715264,0.5337436642245255,1.4510328420512657,0.5719449641758365,0.572,"lagged, excluding 2020-21",99.93327888103958
"TB, UK born aged 65+",rate_oral_glucocorticoids,FE + migration + age,-1,108,2012-2023,1.2747865530301112,0.8764703425731644,1.854119502795084,0.173428376057393,0.198,lead (falsification),68.04124756350043
"TB, UK born aged 65+",rate_oral_glucocorticoids,FE + migration + age,-2,99,2012-2022,1.6773275423303768,1.0429609860571083,2.6975387592360143,0.0363622232606166,0.044,lead (falsification),93.14832703836879
"TB, UK born aged 65+",rate_oral_glucocorticoids,FE + migration + age,-3,90,2012-2021,1.5346469445424384,0.9267272906472344,2.541353069195352,0.0859089591281457,0.108,lead (falsification),101.13872170899837
"TB, UK born aged 65+",rate_mg_pred_equivalent,FE + migration + age,1,117,2012-2024,1.0639964561151798,0.7627710608634881,1.484178565117679,0.6786915813902086,0.712,lagged exposure,58.58559666956786
"TB, UK born aged 65+",rate_mg_pred_equivalent,FE + migration + age,2,108,2013-2024,1.130347947813754,0.8292507840364616,1.5407721134823622,0.3883524913850895,0.478,lagged exposure,53.596653152613015
"TB, UK born aged 65+",rate_mg_pred_equivalent,FE + migration + age,3,99,2014-2024,0.9438039169018976,0.5627787499377885,1.582799339274683,0.8029519195122077,0.844,lagged exposure,104.6908922934524
"TB, UK born aged 65+",rate_mg_pred_equivalent,FE + migration + age,1,99,2012-2024,1.115746586060459,0.7712185952562092,1.6141862397547608,0.5133680951702433,0.566,"lagged, excluding 2020-21",66.80630222347845
"TB, UK born aged 65+",rate_mg_pred_equivalent,FE + migration + age,2,90,2013-2024,1.1209239376595348,0.8035233375705789,1.5637012831724904,0.4519002359965049,0.49,"lagged, excluding 2020-21",58.60162233802883
"TB, UK born aged 65+",rate_mg_pred_equivalent,FE + migration + age,3,81,2014-2024,0.8825511016688243,0.4881500611789423,1.5956086232494269,0.6396525218938303,0.618,"lagged, excluding 2020-21",127.15564874838137
"TB, UK born aged 65+",rate_mg_pred_equivalent,FE + migration + age,-1,108,2012-2023,1.283786875388367,0.8932125014940024,1.8451474186296897,0.1509278358769719,0.204,lead (falsification),65.29661575191813
"TB, UK born aged 65+",rate_mg_pred_equivalent,FE + migration + age,-2,99,2012-2022,1.582061546024024,0.9162975363728212,2.7315567662833296,0.0887686116754177,0.086,lead (falsification),113.1153180370402
"TB, UK born aged 65+",rate_mg_pred_equivalent,FE + migration + age,-3,90,2012-2021,1.3044551521702898,0.7767913654543155,2.1905537570289697,0.2710079192405291,0.32,lead (falsification),105.0704241743642
"TB, UK born aged 65+",rate_levothyroxine,FE + migration + age,1,117,2012-2024,1.2271553159279136,0.9987737311496084,1.5077590874129267,0.051084028667343,0.074,lagged exposure,33.01655889067572
"TB, UK born aged 65+",rate_levothyroxine,FE + migration + age,2,108,2013-2024,1.1878381201857326,0.9514469829945555,1.4829616625884543,0.1114450897916856,0.168,lagged exposure,35.9944516122932
"TB, UK born aged 65+",rate_levothyroxine,FE + migration + age,3,99,2014-2024,1.060877411027671,0.8888962071776814,1.266133067214006,0.4631570649373426,0.534,lagged exposure,27.768413654043368
"TB, UK born aged 65+",rate_levothyroxine,FE + migration + age,1,99,2012-2024,1.2195339384413897,0.9947540355300254,1.4951063015471184,0.0548688199620691,0.068,"lagged, excluding 2020-21",32.612248687229936
"TB, UK born aged 65+",rate_levothyroxine,FE + migration + age,2,90,2013-2024,1.197757945920472,0.9588942569883848,1.496123359338261,0.0982810669225994,0.152,"lagged, excluding 2020-21",36.092395752794836
"TB, UK born aged 65+",rate_levothyroxine,FE + migration + age,3,81,2014-2024,1.087947665157838,0.9116273426583064,1.29837058053889,0.303603144420005,0.406,"lagged, excluding 2020-21",27.758840599999846
"TB, UK born aged 65+",rate_levothyroxine,FE + migration + age,-1,108,2012-2023,1.3780537420894827,1.053417237372397,1.802734993043876,0.024953753981934,0.038,lead (falsification),45.08969790249084
"TB, UK born aged 65+",rate_levothyroxine,FE + migration + age,-2,99,2012-2022,1.202233479615481,0.845637958349822,1.7092011128838556,0.2618598470770082,0.382,lead (falsification),62.81913780279373
