outcome,exposure,model,lag_years,n_obs,years,irr_per_10pct,ci_low,ci_high,p,leave_one_region_out_range,analysis
"TB, Non-UK born",ocs_per_1000,FE only,1,90,2015-2024,0.9767335811050403,0.7535868032637386,1.2659569996800946,0.8394443422194161,0.899-1.036,lagged exposure
"TB, Non-UK born",ocs_per_1000,FE + migration + age,1,90,2015-2024,0.9613740909929617,0.7255785573781991,1.2737974867562056,0.7551134042020653,0.898-1.067,lagged exposure
"TB, Non-UK born",ocs_per_1000,FE only,2,81,2016-2024,1.0410767277023665,0.7829594239886856,1.3842872564736248,0.7529363062589204,0.957-1.116,lagged exposure
"TB, Non-UK born",ocs_per_1000,FE + migration + age,2,81,2016-2024,1.00488545260232,0.811612280120443,1.244183703950261,0.959330366401284,0.951-1.056,lagged exposure
"TB, Non-UK born",ocs_per_1000,FE only,3,72,2017-2024,1.0929088854440143,0.7579952700306787,1.5758011680391277,0.5908887249961717,0.797-1.212,lagged exposure
"TB, Non-UK born",ocs_per_1000,FE + migration + age,3,72,2017-2024,1.010222462967712,0.7517159673856222,1.3576263761349892,0.9387029500126256,0.837-1.102,lagged exposure
"TB, Non-UK born",ocs_per_1000,FE only,1,72,2015-2024,1.0166599946751684,0.769657377563075,1.3429320304127252,0.8944985493740071,0.940-1.076,"lagged, excluding 2020-21"
"TB, Non-UK born",ocs_per_1000,FE + migration + age,1,72,2015-2024,1.0089934046247433,0.7667532543475574,1.3277644206968786,0.9419007689259863,0.938-1.121,"lagged, excluding 2020-21"
"TB, Non-UK born",ocs_per_1000,FE only,2,63,2016-2024,1.0763391598779046,0.8065484947475451,1.436374867266095,0.5728164120593913,0.982-1.164,"lagged, excluding 2020-21"
"TB, Non-UK born",ocs_per_1000,FE + migration + age,2,63,2016-2024,1.0822332864130169,0.8829186959306436,1.3265421738360414,0.3967676503012449,1.022-1.146,"lagged, excluding 2020-21"
"TB, Non-UK born",ocs_per_1000,FE only,3,54,2017-2024,1.0949961201250635,0.7969700734979759,1.5044686657133155,0.5285675625156201,0.827-1.205,"lagged, excluding 2020-21"
"TB, Non-UK born",ocs_per_1000,FE + migration + age,3,54,2017-2024,1.0373079778555807,0.8051547822662635,1.3363987454613415,0.7474037526634861,0.896-1.122,"lagged, excluding 2020-21"
"TB, Non-UK born",ocs_per_1000,FE only,-1,99,2013-2023,1.0097901343034337,0.8163081268361904,1.2491314024871472,0.9184830961963737,0.934-1.083,lead (falsification)
"TB, Non-UK born",ocs_per_1000,FE + migration + age,-1,99,2013-2023,1.060095252122769,0.7969341414939027,1.4101566052454475,0.6497867103209198,1.013-1.252,lead (falsification)
"TB, Non-UK born",ocs_per_1000,FE only,-2,99,2012-2022,0.9493416939883641,0.6846426659283523,1.3163796193195654,0.7233144409532523,0.840-1.162,lead (falsification)
"TB, Non-UK born",ocs_per_1000,FE + migration + age,-2,99,2012-2022,1.207261198935834,0.9266103666258024,1.5729152780400184,0.13928649038826804,1.138-1.417,lead (falsification)
"TB, Non-UK born",ocs_per_1000,FE only,-3,90,2012-2021,0.9198496484158211,0.6531718888690359,1.2954069060684295,0.5890489591925109,0.832-1.238,lead (falsification)
"TB, Non-UK born",ocs_per_1000,FE + migration + age,-3,90,2012-2021,1.362578351872247,1.0298705382528675,1.8027700531569406,0.03425698131478603,1.305-1.628,lead (falsification)
"TB, Non-UK born",pred_mg_per_resident,FE only,1,90,2015-2024,1.0458023607295905,0.8103659866296892,1.3496402807530115,0.696156808973092,0.971-1.149,lagged exposure
